Sample__ID,Landcover,Hill__side,Scientific__name,Common_name_species,DBH (cm),Height (m),Native,Lat_ID,Long_ID
R1SB,Remnant,S,Ficus pseudopalma,Lubi lubi palm,12.1,NA,N,11.598539,124.538384
R1SB,Remnant,S,Ficus pseudopalma,Lubi lubi palm,7.6,NA,N,11.598539,124.538384
R1SB,Remnant,S,Ficus pseudopalma,Lubi lubi palm,13.4,NA,N,11.598539,124.538384
R1SB,Remnant,S,Glochidion camiguinense ,Bunot,10.4,NA,N,11.598539,124.538384
R1SB,Remnant,S,Radermachera pinnata,Banai-banai,14.7,NA,N,11.598539,124.538384
R1SB,Remnant,S,Polyscias nodosa ,Malapapaya,5,NA,N,11.598539,124.538384
R1SB,Remnant,S,Glochidion camiguinense ,Bunot,12,NA,N,11.598539,124.538384
R1SB,Remnant,S,Vitex quinate,Kulipapa,9.5,NA,N,11.598539,124.538384
R1SB,Remnant,S,Ficus pseudopalma,Lubi lubi palm,6.8,NA,N,11.598539,124.538384
R1SB,Remnant,S,Lithocarpus celebicus,Ulaian,32.3,16.1,N,11.598539,124.538384
R1SB,Remnant,S,Alstonia scholaris,Dita,9.2,NA,N,11.598539,124.538384
R1SB,Remnant,S,Vitex quinate,Kulipapa,13.7,NA,N,11.598539,124.538384
R1SB,Remnant,S,Ficus pseudopalma,Lubi lubi palm,8.5,NA,N,11.598539,124.538384
R1SB,Remnant,S,Lithocarpus celebicus,Ulaian,38.8,18.8,N,11.598539,124.538384
R1SB,Remnant,S,Vitex quinate,Kulipapa,9.6,NA,N,11.598539,124.538384
R1SB,Remnant,S,Glochidion camiguinense ,Bunot,21.9,NA,N,11.598539,124.538384
R1SB,Remnant,S,Lithocarpus celebicus,Ulaian,8.1,NA,N,11.598539,124.538384
R1SB,Remnant,S,Lithocarpus celebicus,Ulaian,22.8,NA,N,11.598539,124.538384
R1SB,Remnant,S,Lithocarpus celebicus,Ulaian,6.1,NA,N,11.598539,124.538384
R1SB,Remnant,S,Lithocarpus celebicus,Ulaian,7.9,NA,N,11.598539,124.538384
R1SB,Remnant,S,Lithocarpus celebicus,Ulaian,43.3,NA,N,11.598539,124.538384
R1SB,Remnant,S,Cratoxylum sumatranum,Paguringon,6.2,NA,N,11.598539,124.538384
R1SB,Remnant,S,Morinda citrifolia,Nino,9.9,NA,N,11.598539,124.538384
R1SB,Remnant,S,Lithocarpus celebicus,Ulaian,32.1,17.5,N,11.598539,124.538384
R1SB,Remnant,S,Morinda citrifolia,Nino,5.6,NA,N,11.598539,124.538384
R1SB,Remnant,S,Vitex quinate,Kulipapa,7,NA,N,11.598539,124.538384
R1SB,Remnant,S,Vitex quinate,Kulipapa,9.6,NA,N,11.598539,124.538384
R1SB,Remnant,S,Calophyllum blancoi,Bitang hol,7.8,NA,N,11.598539,124.538384
R1SB,Remnant,S,Lithocarpus celebicus,Ulaian,10.2,NA,N,11.598539,124.538384
R1SB,Remnant,S,Vitex quinate,Kulipapa,9.1,NA,N,11.598539,124.538384
R1SB,Remnant,S,Lithocarpus celebicus,Ulaian,28.3,16.93,N,11.598539,124.538384
R1SB,Remnant,S,Lithocarpus celebicus,Ulaian,12.2,NA,N,11.598539,124.538384
R1SB,Remnant,S,Myristica philippinensis,Duguan,13.1,NA,N,11.598539,124.538384
R2NB,Remnant,N,"Musa acuminata, Musa balbisiana (Musa spp.)",Banana,13.7,NA,N,11.598478,124.539405
R2NB,Remnant,N,"Musa acuminata, Musa balbisiana (Musa spp.)",Banana,18,NA,N,11.598478,124.539405
R2NB,Remnant,N,"Musa acuminata, Musa balbisiana (Musa spp.)",Banana,12.2,NA,N,11.598478,124.539405
R2NB,Remnant,N,"Musa acuminata, Musa balbisiana (Musa spp.)",Banana,5.8,NA,N,11.598478,124.539405
R2NB,Remnant,N,Leucyosyke capitellata,Anagasi,13.1,NA,N,11.598478,124.539405
R2NB,Remnant,N,Pipturus arborescens,Dalunot,9.5,NA,N,11.598478,124.539405
R2NB,Remnant,N,Dendrocnide meyeniana,Lipang kalaban,17.4,4.8,N,11.598478,124.539405
R2NB,Remnant,N,Pipturus arborescens,Dalunot,6.2,NA,N,11.598478,124.539405
R2NB,Remnant,N,Dendrocnide meyeniana,Lipang kalaban,7.6,NA,N,11.598478,124.539405
R2NB,Remnant,N,Pipturus arborescens,Dalunot,9.6,NA,N,11.598478,124.539405
R2NB,Remnant,N,Pipturus arborescens,Dalunot,7.7,NA,N,11.598478,124.539405
R2NB,Remnant,N,Pipturus arborescens,Dalunot,5.2,NA,N,11.598478,124.539405
R2NB,Remnant,N,Dendrocnide meyeniana,Lipang kalaban,8.7,NA,N,11.598478,124.539405
R2NB,Remnant,N,Dendrocnide meyeniana,Lipang kalaban,6.1,NA,N,11.598478,124.539405
R2NB,Remnant,N,Pipturus arborescens,Dalunot,6.5,NA,N,11.598478,124.539405
R2NB,Remnant,N,Radermachera pinnata,Banai-banai,21.5,NA,N,11.598478,124.539405
R2NB,Remnant,N,Pipturus arborescens,Dalunot,9.7,NA,N,11.598478,124.539405
R2NB,Remnant,N,Pipturus arborescens,Dalunot,8.2,NA,N,11.598478,124.539405
R2NB,Remnant,N,Caryota rumphiana,Pugahan,10.5,NA,E,11.598478,124.539405
R2NB,Remnant,N,Pipturus arborescens,Dalunot,7,NA,N,11.598478,124.539405
R2NB,Remnant,N,Radermachera pinnata,Banai-banai,8.6,NA,N,11.598478,124.539405
R2NB,Remnant,N,Dendrocnide meyeniana,Lipang kalaban,7,NA,N,11.598478,124.539405
R2NB,Remnant,N,Radermachera pinnata,Banai-banai,8.3,NA,N,11.598478,124.539405
R2NB,Remnant,N,Pipturus arborescens,Dalunot,5.2,NA,N,11.598478,124.539405
R2NB,Remnant,N,Pipturus arborescens,Dalunot,8.1,NA,N,11.598478,124.539405
R2NB,Remnant,N,Angiopteris evecta ,Tree fern,5.5,NA,E,11.598478,124.539405
R2NB,Remnant,N,Fagrea racemosa ,Malacape,7.2,NA,E,11.598478,124.539405
R2NB,Remnant,N,Pipturus arborescens,Dalunot,6.8,NA,N,11.598478,124.539405
R2NB,Remnant,N,Pipturus arborescens,Dalunot,16.5,7.2,N,11.598478,124.539405
R2NB,Remnant,N,Mallotus philippensis,Banato,20.2,7.7,N,11.598478,124.539405
R2NB,Remnant,N,Ficus heteropoda,Alangas,7.9,8.9,N,11.598478,124.539405
R2NB,Remnant,N,Ficus pseudopalma,Lubi lubi palm,13.2,6.8,N,11.598478,124.539405
R2NB,Remnant,N,Lithocarpus celebicus,Ulaian,11.2,NA,N,11.598478,124.539405
R2NB,Remnant,N,Vitex quinate ,Kulipapa,6,NA,N,11.598478,124.539405
R2NB,Remnant,N,Garcinia ituman,Ituman,5.3,NA,N,11.598478,124.539405
R2NB,Remnant,N,Ficus balete,Dakitan (or Pakitan),6.7,NA,N,11.598478,124.539405
R2NB,Remnant,N,Leea aculeata,Amamali,7.4,NA,N,11.598478,124.539405
R2NB,Remnant,N,Leucyosyke capitellata,Anagasi,8.8,NA,N,11.598478,124.539405
R2NB,Remnant,N,Dendrocnide meyeniana,Lipang kalaban,12.5,NA,N,11.598478,124.539405
R2NB,Remnant,N,"Musa acuminata, Musa balbisiana (Musa spp.)",Banana,8.7,8.7,N,11.598478,124.539405
R2NB,Remnant,N,Ficus heteropoda,Alangas,18.5,NA,N,11.598478,124.539405
R3SB,Remnant,S,Ficus ulmifolia,Is is,5.9,NA,N,11.599125,124.544354
R3SB,Remnant,S,Polyscias nodosa ,Malapapaya,7,NA,N,11.599125,124.544354
R3SB,Remnant,S,Leucyosyke capitellata,Anagasi,5.9,NA,N,11.599125,124.544354
R3SB,Remnant,S,Morinda citrifolia,Noni,5.3,NA,E,11.599125,124.544354
R3SB,Remnant,S,Unknown,Unknown,7.9,NA,,11.599125,124.544354
R3SB,Remnant,S,Artocarpus blancoi,Antipolo,9.4,NA,N,11.599125,124.544354
R3SB,Remnant,S,Calamus rotang,Rattan,5.2,NA,E,11.599125,124.544354
R3SB,Remnant,S,Macaranga tanarius (Linn.),Binonga,10,NA,N,11.599125,124.544354
R3SB,Remnant,S,Macaranga tanarius (Linn.),Binonga,24.8,NA,N,11.599125,124.544354
R3SB,Remnant,S,Tabernaemontana pandacaqui,Pandakaki,8.2,NA,E,11.599125,124.544354
R3SB,Remnant,S,Calamus rotang,Rattan,5.2,NA,E,11.599125,124.544354
R3SB,Remnant,S,Cocos nucifera,Coconut,31.5,19,N,11.599125,124.544354
R3SB,Remnant,S,Alstonia scholaris,Dita,5.3,7.7,N,11.599125,124.544354
R3SB,Remnant,S,Artocarpus nitidus (A. lamellosus) ,Kubi,7.5,NA,N,11.599125,124.544354
R3SB,Remnant,S,Artocarpus blancoi,Antipolo,70.8,29,N,11.599125,124.544354
R3SB,Remnant,S,Polyscias nodosa ,Malapapaya,6.7,NA,N,11.599125,124.544354
R3SB,Remnant,S,Acacia mangium,Mangium,43.5,17,E,11.599125,124.544354
R3SB,Remnant,S,Morinda citrifolia,Noni,5,NA,E,11.599125,124.544354
R3SB,Remnant,S,Acacia mangium,Mangium,36.9,17,E,11.599125,124.544354
R3SB,Remnant,S,Macaranga tanarius (Linn.),Binonga,7.3,NA,N,11.599125,124.544354
R4NB,Remnant,N,Artocarpus blancoi,Antipolo,21,NA,N,11.59945,124.543657
R4NB,Remnant,N,Artocarpus blancoi,Antipolo,18.2,NA,N,11.59945,124.543657
R4NB,Remnant,N,Flueggea flexuosa,Anislag,14.3,NA,N,11.59945,124.543657
R4NB,Remnant,N,Cocos nucifera,Coconut,29.9,14.7,N,11.59945,124.543657
R4NB,Remnant,N,Sandoricum vidalii ,Santol,5.1,NA,N,11.59945,124.543657
R4NB,Remnant,N,Artocarpus nitidus (A. lamellosus) ,Kubi,6.5,NA,N,11.59945,124.543657
R4NB,Remnant,N,Syzigium huchinsonii,Malatambis,14.2,6.4,N,11.59945,124.543657
R4NB,Remnant,N,Radermachera pinnata,Banai-banai,16.5,9.1,N,11.59945,124.543657
R4NB,Remnant,N,Psydrax dicoccos Gaertn.,Bagosalak,9.7,NA,E,11.59945,124.543657
R4NB,Remnant,N,Flueggea flexuosa,Anislag,26.5,NA,N,11.59945,124.543657
R4NB,Remnant,N,Caryota rumphiana,Pugahan,6.5,NA,E,11.59945,124.543657
R4NB,Remnant,N,Syzigium huchinsonii,Malatambis,8.4,NA,N,11.59945,124.543657
R4NB,Remnant,N,Cananga odorata,Ilang-Ilang,6.5,NA,N,11.59945,124.543657
R4NB,Remnant,N,Cratoxylum sumatranum,Paguringon,5,NA,N,11.59945,124.543657
R4NB,Remnant,N,Macaranga tanarius (Linn.),Binonga,15,NA,N,11.59945,124.543657
R4NB,Remnant,N,Polyscias nodosa ,Malapapaya,6.3,NA,N,11.59945,124.543657
R4NB,Remnant,N,Polyscias nodosa ,Malapapaya,7.5,NA,N,11.59945,124.543657
R4NB,Remnant,N,Polyscias nodosa ,Malapapaya,5.2,NA,N,11.59945,124.543657
R4NB,Remnant,N,Macaranga tanarius (Linn.),Binonga,6,NA,N,11.59945,124.543657
R4NB,Remnant,N,Radermachera pinnata,Banai-banai,11.7,NA,N,11.59945,124.543657
R4NB,Remnant,N,Fagrea racemosa ,Malacape,8.5,NA,E,11.59945,124.543657
R4NB,Remnant,N,Macaranga tanarius (Linn.),Binonga,8,NA,N,11.59945,124.543657
R4NB,Remnant,N,Artocarpus blancoi,Antipolo,8.5,NA,N,11.59945,124.543657
R4NB,Remnant,N,Syzigium huchinsonii,Malatambis,6.5,NA,N,11.59945,124.543657
R4NB,Remnant,N,Polyscias nodosa ,Malapapaya,6.5,NA,N,11.59945,124.543657
R4NB,Remnant,N,Artocarpus nitidus (A. lamellosus) ,Kubi,6.2,NA,N,11.59945,124.543657
R4NB,Remnant,N,Homalanthus populneus,Balanti,5.5,NA,N,11.59945,124.543657
R4NB,Remnant,N,Homalanthus populneus,Balanti,7,NA,N,11.59945,124.543657
R4NB,Remnant,N,Ficus nota ,Tibig,18,NA,N,11.59945,124.543657
R4NB,Remnant,N,Ficus congesta,Malatibig,7,NA,E,11.59945,124.543657
R4NB,Remnant,N,Macaranga tanarius (Linn.),Binonga,7,NA,N,11.59945,124.543657
R4NB,Remnant,N,Artocarpus nitidus (A. lamellosus) ,Kubi,16.9,NA,N,11.59945,124.543657
R4NB,Remnant,N,Artocarpus blancoi,Antipolo,17.5,12.5,N,11.59945,124.543657
R4NB,Remnant,N,Cratoxylum sumatranum,Paguringon,5.8,NA,N,11.59945,124.543657
R4NB,Remnant,N,Cratoxylum sumatranum,Paguringon,24.5,10.7,N,11.59945,124.543657
R4NB,Remnant,N,Artocarpus blancoi,Antipolo,27.7,9.2,N,11.59945,124.543657
R4NB,Remnant,N,Cocos nucifera,Coconut,35,NA,N,11.59945,124.543657
R4NB,Remnant,N,Polyscias nodosa ,Malapapaya,7.2,NA,N,11.59945,124.543657
R4NB,Remnant,N,Dendrocnide meyeniana,Lipang kalaban,7.5,NA,N,11.59945,124.543657
R4NB,Remnant,N,Calophyllum blancoi,Bitang hol,23.5,NA,N,11.59945,124.543657
R4NB,Remnant,N,Cratoxylum sumatranum,Paguringon,15.5,NA,N,11.59945,124.543657
