Sample__ID,Landcover,Hill__side,Scientific__name,Common_name_species,DBH (cm),Height (m),Native,Lat_ID,Long_ID
I3SB,10 years old,S,Cocos nucifera,Coconut,30.4,21.7,N,11.591689,124.535514
I3SB,10 years old,S,Acacia mangium,Mangium,25.5,NA,E,11.591689,124.535514
I3SB,10 years old,S,Acacia mangium,Mangium,20.2,NA,E,11.591689,124.535514
I3SB,10 years old,S,Acacia mangium,Mangium,35.4,NA,E,11.591689,124.535514
I3SB,10 years old,S,Macaranga tanarius (Linn.),Minonga,5.3,NA,N,11.591689,124.535514
I3SB,10 years old,S,Macaranga tanarius (Linn.),Minonga,10.9,NA,N,11.591689,124.535514
I3SB,10 years old,S,Acacia mangium,Mangium,9.4,NA,E,11.591689,124.535514
I3SB,10 years old,S,Macaranga tanarius (Linn.),Minonga,5.2,NA,N,11.591689,124.535514
I3SB,10 years old,S,Macaranga tanarius (Linn.),Minonga,6.4,NA,N,11.591689,124.535514
I3SB,10 years old,S,Macaranga tanarius (Linn.),Minonga,5.4,NA,N,11.591689,124.535514
I3SB,10 years old,S,Hibiscus tiliaceus,Malabago,17.3,NA,N,11.591689,124.535514
I3SB,10 years old,S,Hibiscus tiliaceus,Malabago,11.8,NA,N,11.591689,124.535514
I3SB,10 years old,S,Hibiscus tiliaceus,Malabago,16.2,NA,N,11.591689,124.535514
I3SB,10 years old,S,"Musa acuminata, Musa balbisiana (Musa spp.)",Banana,10.8,NA,N,11.591689,124.535514
I3SB,10 years old,S,"Musa acuminata, Musa balbisiana (Musa spp.)",Banana,6.3,NA,N,11.591689,124.535514
I3SB,10 years old,S,"Musa acuminata, Musa balbisiana (Musa spp.)",Banana,10.9,NA,N,11.591689,124.535514
I3SB,10 years old,S,Macaranga tanarius (Linn.),Minonga,9.4,NA,N,11.591689,124.535514
I3SB,10 years old,S,Hibiscus tiliaceus,Malabago,16.7,NA,N,11.591689,124.535514
I3SB,10 years old,S,Acacia mangium,Mangium,22.5,24.1,E,11.591689,124.535514
I3SB,10 years old,S,Ficus congesta,Malatibig,9.3,NA,E,11.591689,124.535514
I4NB,10 years old,N,Homalanthus populneus?,Balanti,5.4,NA,N,11.59143,124.535482
I4NB,10 years old,N,Acacia mangium,Mangium,16.4,NA,E,11.59143,124.535482
I4NB,10 years old,N,Acacia mangium,Mangium,37.1,21.2,E,11.59143,124.535482
I4NB,10 years old,N,Acacia mangium,Mangium,38.5,23.5,E,11.59143,124.535482
I4NB,10 years old,N,Macaranga tanarius (Linn.),Minonga,8.5,NA,N,11.59143,124.535482
I4NB,10 years old,N,Ficus nota ,Tibig,17.5,NA,N,11.59143,124.535482
I4NB,10 years old,N,Acacia mangium,Mangium,38.8,20.4,E,11.59143,124.535482
I4NB,10 years old,N,Acacia mangium,Mangium,36.3,25.9,E,11.59143,124.535482
I4NB,10 years old,N,Acacia mangium,Mangium,34.4,NA,E,11.59143,124.535482
I4NB,10 years old,N,Macaranga tanarius (Linn.),Minonga,12.7,NA,N,11.59143,124.535482
I4NB,10 years old,N,Acacia mangium,Mangium,24.4,NA,E,11.59143,124.535482
I4NB,10 years old,N,Acacia mangium,Mangium,36.4,NA,E,11.59143,124.535482
I4NB,10 years old,N,Acacia mangium,Mangium,27,NA,E,11.59143,124.535482
I4NB,10 years old,N,Ficus nota ,Tibig,7,NA,N,11.59143,124.535482
I4NB,10 years old,N,Acacia mangium,Mangium,21.2,NA,E,11.59143,124.535482
I4NB,10 years old,N,Acacia mangium,Mangium,20.5,NA,E,11.59143,124.535482
I4NB,10 years old,N,Acacia mangium,Mangium,27.7,NA,E,11.59143,124.535482
I4NB,10 years old,N,Acacia mangium,Mangium,28.4,22.3,E,11.59143,124.535482
I4NB,10 years old,N,Acacia mangium,Mangium,21.1,NA,E,11.59143,124.535482
I4NB,10 years old,N,Ficus heteropoda,Alangas,13.4,NA,N,11.59143,124.535482
I4NB,10 years old,N,Acacia mangium,Mangium,20.5,NA,E,11.59143,124.535482
I4NB,10 years old,N,Acacia mangium,Mangium,15.2,NA,E,11.59143,124.535482
I4NB,10 years old,N,Acacia mangium,Mangium,27.2,24.5,E,11.59143,124.535482
O1SB,24 years old,S,Acacia mangium,Mangium,58.6,20,E,11.59324,124.537684
O1SB,24 years old,S,Artocarpus nitidus (A. lamellosus) ,Kubi,6.2,NA,N,11.59324,124.537684
O1SB,24 years old,S,Gmelina Arborea,Gmelina Arboria,5.1,NA,E,11.59324,124.537684
O1SB,24 years old,S,Pterocymbium tinctorium,Taluto,15.1,NA,E,11.59324,124.537684
O1SB,24 years old,S,Ficus nota ,Tibig,6.4,NA,N,11.59324,124.537684
O1SB,24 years old,S,Gmelina Arborea,Gmelina Arboria,35.8,18.8,E,11.59324,124.537684
O1SB,24 years old,S,Commersonia bartramina (L.) Merr.,Suyapao,15.4,NA,N,11.59324,124.537684
O1SB,24 years old,S,Acacia mangium,Mangium,66,16.6,E,11.59324,124.537684
O1SB,24 years old,S,Gmelina Arborea,Gmelina Arboria,25.3,15.3,E,11.59324,124.537684
O1SB,24 years old,S,"Musa acuminata, Musa balbisiana (Musa spp.)",Banana,13.2,NA,N,11.59324,124.537684
O1SB,24 years old,S,"Musa acuminata, Musa balbisiana (Musa spp.)",Banana,8.2,NA,N,11.59324,124.537684
O1SB,24 years old,S,Gmelina Arborea,Gmelina Arboria,56.9,NA,E,11.59324,124.537684
O1SB,24 years old,S,Gmelina Arborea,Gmelina Arboria,8.4,NA,E,11.59324,124.537684
O1SB,24 years old,S,Acacia mangium,Mangium,44.3,NA,E,11.59324,124.537684
O1SB,24 years old,S,Acacia mangium,Mangium,78,21,E,11.59324,124.537684
O1SB,24 years old,S,Gmelina Arborea,Gmelina Arboria,9.7,NA,E,11.59324,124.537684
O1SB,24 years old,S,Homalanthus populneus,Balanti,6,NA,N,11.59324,124.537684
O1SB,24 years old,S,Gmelina Arborea,Gmelina Arboria,52.8,15.1,E,11.59324,124.537684
O1SB,24 years old,S,Gmelina Arborea,Gmelina Arboria,6.2,NA,E,11.59324,124.537684
O1SB,24 years old,S,Homalanthus populneus,Balanti,6.2,NA,N,11.59324,124.537684
O1SB,24 years old,S,Homalanthus populneus,Balanti,5.4,NA,N,11.59324,124.537684
O2NB,24 years old,N,Ficus latsoni,Tangilang Layugan,16.9,NA,N,11.594358,124.538137
O2NB,24 years old,N,Leucyosyke capitellata,Anagasi,6.2,NA,N,11.594358,124.538137
O2NB,24 years old,N,Macaranga tanarius (Linn.),Binonga,10.4,NA,N,11.594358,124.538137
O2NB,24 years old,N,Dendrocnide meyeniana,Lipang kalaban,8.3,NA,N,11.594358,124.538137
O2NB,24 years old,N,Dendrocnide meyeniana,Lipang kalaban,6.4,NA,N,11.594358,124.538137
O2NB,24 years old,N,Gmelina Arborea,Gmelina Arboria,29.9,16.7,E,11.594358,124.538137
O2NB,24 years old,N,Artocarpus nitidus (A. lamellosus) ,Kubi,5.9,NA,N,11.594358,124.538137
O2NB,24 years old,N,Macaranga tanarius (Linn.),Binonga,5.9,NA,N,11.594358,124.538137
O2NB,24 years old,N,Leucyosyke capitellata,Anagasi,5.4,NA,N,11.594358,124.538137
O2NB,24 years old,N,Macaranga tanarius (Linn.),Binonga,5,NA,N,11.594358,124.538137
O2NB,24 years old,N,Leucyosyke capitellata,Anagasi,9.1,NA,N,11.594358,124.538137
O2NB,24 years old,N,Leucyosyke capitellata,Anagasi,16.7,NA,N,11.594358,124.538137
O2NB,24 years old,N,Leucyosyke capitellata,Anagasi,21.9,NA,N,11.594358,124.538137
O2NB,24 years old,N,Macaranga tanarius (Linn.),Binonga,8.4,NA,N,11.594358,124.538137
O2NB,24 years old,N,Macaranga tanarius (Linn.),Binonga,6.4,NA,N,11.594358,124.538137
O2NB,24 years old,N,Macaranga tanarius (Linn.),Binonga,7.5,NA,N,11.594358,124.538137
O2NB,24 years old,N,Macaranga tanarius (Linn.),Binonga,10.2,NA,N,11.594358,124.538137
O2NB,24 years old,N,Macaranga tanarius (Linn.),Binonga,6.9,NA,N,11.594358,124.538137
O2NB,24 years old,N,Gmelina Arborea,Gmelina Arboria,16.9,11.8,E,11.594358,124.538137
O2NB,24 years old,N,Macaranga tanarius (Linn.),Binonga,5,NA,N,11.594358,124.538137
O2NB,24 years old,N,Dendrocnide meyeniana,Lipang kalaban,5.2,NA,N,11.594358,124.538137
O2NB,24 years old,N,Gmelina Arborea,Gmelina Arboria,21.5,17.3,E,11.594358,124.538137
O2NB,24 years old,N,"Musa acuminata, Musa balbisiana (Musa spp.)",Banana,8.1,NA,N,11.594358,124.538137
O2NB,24 years old,N,Dendrocnide meyeniana,Lipang kalaban,5.9,NA,N,11.594358,124.538137
O2NB,24 years old,N,Macaranga tanarius (Linn.),Binonga,5.6,NA,N,11.594358,124.538137
O2NB,24 years old,N,Gmelina Arborea,Gmelina Arboria,23.9,16.6,E,11.594358,124.538137
O2NB,24 years old,N,Gmelina Arborea,Gmelina Arboria,20.6,NA,E,11.594358,124.538137
O2NB,24 years old,N,"Musa acuminata, Musa balbisiana (Musa spp.)",Banana,10.1,NA,N,11.594358,124.538137
O2NB,24 years old,N,"Musa acuminata, Musa balbisiana (Musa spp.)",Banana,15.4,NA,N,11.594358,124.538137
O2NB,24 years old,N,"Musa acuminata, Musa balbisiana (Musa spp.)",Banana,15.6,NA,N,11.594358,124.538137
O2NB,24 years old,N,"Musa acuminata, Musa balbisiana (Musa spp.)",Banana,11.2,NA,N,11.594358,124.538137
O2NB,24 years old,N,Pipturus arborescens,Dalunot,5.7,NA,N,11.594358,124.538137
O2NB,24 years old,N,"Musa acuminata, Musa balbisiana (Musa spp.)",Banana,9.9,NA,N,11.594358,124.538137
O2NB,24 years old,N,"Musa acuminata, Musa balbisiana (Musa spp.)",Banana,7.9,NA,N,11.594358,124.538137
O2NB,24 years old,N,Macaranga tanarius (Linn.),Binonga,5,NA,N,11.594358,124.538137
O2NB,24 years old,N,Unknown,Unknown,9.7,NA,,11.594358,124.538137
O2NB,24 years old,N,Gmelina Arborea,Gmelina Arboria,35.3,16.6,E,11.594358,124.538137
O2NB,24 years old,N,Macaranga tanarius (Linn.),Binonga,7.2,NA,N,11.594358,124.538137
O2NB,24 years old,N,Leucyosyke capitellata,Anagasi,5.6,NA,N,11.594358,124.538137
O2NB,24 years old,N,Gmelina Arborea,Gmelina Arboria,38.9,19.4,E,11.594358,124.538137
O2NB,24 years old,N,Leucyosyke capitellata,Anagasi,5.3,NA,N,11.594358,124.538137
O2NB,24 years old,N,Leucyosyke capitellata,Anagasi,8.2,NA,N,11.594358,124.538137
O2NB,24 years old,N,"Musa acuminata, Musa balbisiana (Musa spp.)",Banana,11,NA,N,11.594358,124.538137
O2NB,24 years old,N,Pipturus arborescens,Dalunot,5.4,NA,N,11.594358,124.538137
O2NB,24 years old,N,Pipturus arborescens,Dalunot,6.2,NA,N,11.594358,124.538137
O2NB,24 years old,N,Ficus heteropoda,Alangas,46.3,NA,N,11.594358,124.538137
O2NB,24 years old,N,Pipturus arborescens,Dalunot,5.2,NA,N,11.594358,124.538137
O2NB,24 years old,N,Macaranga tanarius (Linn.),Binonga,9.4,NA,N,11.594358,124.538137
O3SB,24 years old,S,Acacia mangium,Mangium,5,NA,E,11.59892,124.546225
O3SB,24 years old,S,Mallotus mollissimus ,Hanom-o,8.7,NA,N,11.59892,124.546225
O3SB,24 years old,S,Acacia mangium,Mangium,5,NA,E,11.59892,124.546225
O3SB,24 years old,S,Acacia mangium,Mangium,6.2,NA,E,11.59892,124.546225
O3SB,24 years old,S,Acacia mangium,Mangium,6.3,NA,E,11.59892,124.546225
O3SB,24 years old,S,Acacia mangium,Mangium,6.1,NA,E,11.59892,124.546225
O3SB,24 years old,S,Acacia mangium,Mangium,5.4,NA,E,11.59892,124.546225
O3SB,24 years old,S,Acacia mangium,Mangium,10.1,NA,E,11.59892,124.546225
O3SB,24 years old,S,Acacia mangium,Mangium,8.1,NA,E,11.59892,124.546225
O3SB,24 years old,S,Acacia mangium,Mangium,6.8,NA,E,11.59892,124.546225
O3SB,24 years old,S,Mallotus mollissimus ,Hanom-o,7.9,NA,N,11.59892,124.546225
O3SB,24 years old,S,Psydrax dicoccos Gaertn.,Bagosalak,6.9,NA,E,11.59892,124.546225
O3SB,24 years old,S,Homalanthus populneus,Balanti,7.7,NA,N,11.59892,124.546225
O3SB,24 years old,S,Radermachera pinnata,Banai-banai,7.9,NA,N,11.59892,124.546225
O3SB,24 years old,S,Macaranga tanarius (Linn.),Minonga,6.8,NA,N,11.59892,124.546225
O3SB,24 years old,S,Hibiscus tiliaceus,Malabago,6.7,NA,N,11.59892,124.546225
