Sample__ID,Landcover,Hill_side,Scientific__name,Common_name_species,Native,Lat_ID,Long_ID
I3SB,10 years old,S,Hibiscus tiliaceus,Malabago,N,HIDED,HIDED
I3SB,10 years old,S,Hibiscus tiliaceus,Malabago,N,HIDED,HIDED
I3SB,10 years old,S,"Musa acuminata, Musa balbisiana (Musa spp.)",Banana,N,HIDED,HIDED
I3SB,10 years old,S,"Musa acuminata, Musa balbisiana (Musa spp.)",Banana,N,HIDED,HIDED
I3SB,10 years old,S,"Musa acuminata, Musa balbisiana (Musa spp.)",Banana,N,HIDED,HIDED
I3SB,10 years old,S,Macaranga tanarius (Linn.),Minonga,N,HIDED,HIDED
I3SB,10 years old,S,Hibiscus tiliaceus,Malabago,N,HIDED,HIDED
I3SB,10 years old,S,Acacia mangium,Mangium,E,HIDED,HIDED
I3SB,10 years old,S,Ficus congesta,Malatibig,E,HIDED,HIDED
I4NB,10 years old,N,Homalanthus populneus?,Balanti,N,HIDED,HIDED
I4NB,10 years old,N,Acacia mangium,Mangium,E,HIDED,HIDED
I4NB,10 years old,N,Acacia mangium,Mangium,E,HIDED,HIDED
I4NB,10 years old,N,Acacia mangium,Mangium,E,HIDED,HIDED
I4NB,10 years old,N,Macaranga tanarius (Linn.),Minonga,N,HIDED,HIDED
I4NB,10 years old,N,Ficus nota ,Tibig,N,HIDED,HIDED
I4NB,10 years old,N,Acacia mangium,Mangium,E,HIDED,HIDED
I4NB,10 years old,N,Acacia mangium,Mangium,E,HIDED,HIDED
I4NB,10 years old,N,Acacia mangium,Mangium,E,HIDED,HIDED
I4NB,10 years old,N,Macaranga tanarius (Linn.),Minonga,N,HIDED,HIDED
I4NB,10 years old,N,Acacia mangium,Mangium,E,HIDED,HIDED
I4NB,10 years old,N,Acacia mangium,Mangium,E,HIDED,HIDED
I4NB,10 years old,N,Acacia mangium,Mangium,E,HIDED,HIDED
I4NB,10 years old,N,Ficus nota ,Tibig,N,HIDED,HIDED
I4NB,10 years old,N,Acacia mangium,Mangium,E,HIDED,HIDED
I4NB,10 years old,N,Acacia mangium,Mangium,E,HIDED,HIDED
I4NB,10 years old,N,Acacia mangium,Mangium,E,HIDED,HIDED
I4NB,10 years old,N,Acacia mangium,Mangium,E,HIDED,HIDED
I4NB,10 years old,N,Acacia mangium,Mangium,E,HIDED,HIDED
I4NB,10 years old,N,Ficus heteropoda,Alangas,N,HIDED,HIDED
I4NB,10 years old,N,Acacia mangium,Mangium,E,HIDED,HIDED
I4NB,10 years old,N,Acacia mangium,Mangium,E,HIDED,HIDED
I4NB,10 years old,N,Acacia mangium,Mangium,E,HIDED,HIDED
O1SB,24 years old,S,Acacia mangium,Mangium,E,HIDED,HIDED
O1SB,24 years old,S,Artocarpus nitidus (A. lamellosus) ,Kubi,N,HIDED,HIDED
O1SB,24 years old,S,Gmelina Arborea,Gmelina Arboria,E,HIDED,HIDED
O1SB,24 years old,S,Pterocymbium tinctorium,Taluto,E,HIDED,HIDED
O1SB,24 years old,S,Ficus nota ,Tibig,N,HIDED,HIDED
O1SB,24 years old,S,Gmelina Arborea,Gmelina Arboria,E,HIDED,HIDED
O1SB,24 years old,S,Commersonia bartramina (L.) Merr.,Suyapao,N,HIDED,HIDED
O1SB,24 years old,S,Acacia mangium,Mangium,E,HIDED,HIDED
O1SB,24 years old,S,Gmelina Arborea,Gmelina Arboria,E,HIDED,HIDED
O1SB,24 years old,S,"Musa acuminata, Musa balbisiana (Musa spp.)",Banana,N,HIDED,HIDED
O1SB,24 years old,S,"Musa acuminata, Musa balbisiana (Musa spp.)",Banana,N,HIDED,HIDED
O1SB,24 years old,S,Gmelina Arborea,Gmelina Arboria,E,HIDED,HIDED
O1SB,24 years old,S,Gmelina Arborea,Gmelina Arboria,E,HIDED,HIDED
O1SB,24 years old,S,Acacia mangium,Mangium,E,HIDED,HIDED
O1SB,24 years old,S,Acacia mangium,Mangium,E,HIDED,HIDED
O1SB,24 years old,S,Gmelina Arborea,Gmelina Arboria,E,HIDED,HIDED
O1SB,24 years old,S,Homalanthus populneus,Balanti,N,HIDED,HIDED
O1SB,24 years old,S,Gmelina Arborea,Gmelina Arboria,E,HIDED,HIDED
O1SB,24 years old,S,Gmelina Arborea,Gmelina Arboria,E,HIDED,HIDED
O1SB,24 years old,S,Homalanthus populneus,Balanti,N,HIDED,HIDED
O1SB,24 years old,S,Homalanthus populneus,Balanti,N,HIDED,HIDED
O2NB,24 years old,N,Ficus latsoni,Tangilang Layugan,N,HIDED,HIDED
O2NB,24 years old,N,Leucyosyke capitellata,Anagasi,N,HIDED,HIDED
O2NB,24 years old,N,Macaranga tanarius (Linn.),Binonga,N,HIDED,HIDED
O2NB,24 years old,N,Dendrocnide meyeniana,Lipang kalaban,N,HIDED,HIDED
O2NB,24 years old,N,Dendrocnide meyeniana,Lipang kalaban,N,HIDED,HIDED
O2NB,24 years old,N,Gmelina Arborea,Gmelina Arboria,E,HIDED,HIDED
O2NB,24 years old,N,Artocarpus nitidus (A. lamellosus) ,Kubi,N,HIDED,HIDED
O2NB,24 years old,N,Macaranga tanarius (Linn.),Binonga,N,HIDED,HIDED
O2NB,24 years old,N,Leucyosyke capitellata,Anagasi,N,HIDED,HIDED
O2NB,24 years old,N,Macaranga tanarius (Linn.),Binonga,N,HIDED,HIDED
O2NB,24 years old,N,Leucyosyke capitellata,Anagasi,N,HIDED,HIDED
O2NB,24 years old,N,Leucyosyke capitellata,Anagasi,N,HIDED,HIDED
O2NB,24 years old,N,Leucyosyke capitellata,Anagasi,N,HIDED,HIDED
O2NB,24 years old,N,Macaranga tanarius (Linn.),Binonga,N,HIDED,HIDED
O2NB,24 years old,N,Macaranga tanarius (Linn.),Binonga,N,HIDED,HIDED
O2NB,24 years old,N,Macaranga tanarius (Linn.),Binonga,N,HIDED,HIDED
O2NB,24 years old,N,Macaranga tanarius (Linn.),Binonga,N,HIDED,HIDED
O2NB,24 years old,N,Macaranga tanarius (Linn.),Binonga,N,HIDED,HIDED
O2NB,24 years old,N,Gmelina Arborea,Gmelina Arboria,E,HIDED,HIDED
O2NB,24 years old,N,Macaranga tanarius (Linn.),Binonga,N,HIDED,HIDED
O2NB,24 years old,N,Dendrocnide meyeniana,Lipang kalaban,N,HIDED,HIDED
O2NB,24 years old,N,Gmelina Arborea,Gmelina Arboria,E,HIDED,HIDED
O2NB,24 years old,N,"Musa acuminata, Musa balbisiana (Musa spp.)",Banana,N,HIDED,HIDED
O2NB,24 years old,N,Dendrocnide meyeniana,Lipang kalaban,N,HIDED,HIDED
O2NB,24 years old,N,Macaranga tanarius (Linn.),Binonga,N,HIDED,HIDED
O2NB,24 years old,N,Gmelina Arborea,Gmelina Arboria,E,HIDED,HIDED
O2NB,24 years old,N,Gmelina Arborea,Gmelina Arboria,E,HIDED,HIDED
O2NB,24 years old,N,"Musa acuminata, Musa balbisiana (Musa spp.)",Banana,N,HIDED,HIDED
O2NB,24 years old,N,"Musa acuminata, Musa balbisiana (Musa spp.)",Banana,N,HIDED,HIDED
O2NB,24 years old,N,"Musa acuminata, Musa balbisiana (Musa spp.)",Banana,N,HIDED,HIDED
O2NB,24 years old,N,"Musa acuminata, Musa balbisiana (Musa spp.)",Banana,N,HIDED,HIDED
O2NB,24 years old,N,Pipturus arborescens,Dalunot,N,HIDED,HIDED
O2NB,24 years old,N,"Musa acuminata, Musa balbisiana (Musa spp.)",Banana,N,HIDED,HIDED
O2NB,24 years old,N,"Musa acuminata, Musa balbisiana (Musa spp.)",Banana,N,HIDED,HIDED
O2NB,24 years old,N,Macaranga tanarius (Linn.),Binonga,N,HIDED,HIDED
O2NB,24 years old,N,Unknown,Unknown,NA,HIDED,HIDED
O2NB,24 years old,N,Gmelina Arborea,Gmelina Arboria,E,HIDED,HIDED
O2NB,24 years old,N,Macaranga tanarius (Linn.),Binonga,N,HIDED,HIDED
O2NB,24 years old,N,Leucyosyke capitellata,Anagasi,N,HIDED,HIDED
O2NB,24 years old,N,Gmelina Arborea,Gmelina Arboria,E,HIDED,HIDED
O2NB,24 years old,N,Leucyosyke capitellata,Anagasi,N,HIDED,HIDED
O2NB,24 years old,N,Leucyosyke capitellata,Anagasi,N,HIDED,HIDED
O2NB,24 years old,N,"Musa acuminata, Musa balbisiana (Musa spp.)",Banana,N,HIDED,HIDED
O2NB,24 years old,N,Pipturus arborescens,Dalunot,N,HIDED,HIDED
O2NB,24 years old,N,Pipturus arborescens,Dalunot,N,HIDED,HIDED
O2NB,24 years old,N,Ficus heteropoda,Alangas,N,HIDED,HIDED
O2NB,24 years old,N,Pipturus arborescens,Dalunot,N,HIDED,HIDED
O2NB,24 years old,N,Macaranga tanarius (Linn.),Binonga,N,HIDED,HIDED
O3SB,24 years old,S,Acacia mangium,Mangium,E,HIDED,HIDED
O3SB,24 years old,S,Mallotus mollissimus ,Hanom-o,N,HIDED,HIDED
O3SB,24 years old,S,Acacia mangium,Mangium,E,HIDED,HIDED
O3SB,24 years old,S,Acacia mangium,Mangium,E,HIDED,HIDED
O3SB,24 years old,S,Acacia mangium,Mangium,E,HIDED,HIDED
O3SB,24 years old,S,Acacia mangium,Mangium,E,HIDED,HIDED
O3SB,24 years old,S,Acacia mangium,Mangium,E,HIDED,HIDED
O3SB,24 years old,S,Acacia mangium,Mangium,E,HIDED,HIDED
O3SB,24 years old,S,Acacia mangium,Mangium,E,HIDED,HIDED
O3SB,24 years old,S,Acacia mangium,Mangium,E,HIDED,HIDED
O3SB,24 years old,S,Mallotus mollissimus ,Hanom-o,N,HIDED,HIDED
O3SB,24 years old,S,Psydrax dicoccos Gaertn.,Bagosalak,E,HIDED,HIDED
O3SB,24 years old,S,Homalanthus populneus,Balanti,N,HIDED,HIDED
O3SB,24 years old,S,Radermachera pinnata,Banai-banai,N,HIDED,HIDED
O3SB,24 years old,S,Macaranga tanarius (Linn.),Minonga,N,HIDED,HIDED
O3SB,24 years old,S,Hibiscus tiliaceus,Malabago,N,HIDED,HIDED
O3SB,24 years old,S,Hibiscus tiliaceus,Malabago,N,HIDED,HIDED
O3SB,24 years old,S,Acacia mangium,Mangium,E,HIDED,HIDED
O3SB,24 years old,S,Vitex quinate ,Kulipapa,N,HIDED,HIDED
O3SB,24 years old,S,Commersonia bartramina (L.) Merr.,Suyapao,N,HIDED,HIDED
