Sample__ID,Landcover,Hill_side,Scientific__name,Common_name_species,Native,Lat_ID,Long_ID
I3SB,10 years old,S,Hibiscus tiliaceus,Malabago,N,11.591689,124.535514
I3SB,10 years old,S,Hibiscus tiliaceus,Malabago,N,11.591689,124.535514
I3SB,10 years old,S,"Musa acuminata, Musa balbisiana (Musa spp.)",Banana,N,11.591689,124.535514
I3SB,10 years old,S,"Musa acuminata, Musa balbisiana (Musa spp.)",Banana,N,11.591689,124.535514
I3SB,10 years old,S,"Musa acuminata, Musa balbisiana (Musa spp.)",Banana,N,11.591689,124.535514
I3SB,10 years old,S,Macaranga tanarius (Linn.),Minonga,N,11.591689,124.535514
I3SB,10 years old,S,Hibiscus tiliaceus,Malabago,N,11.591689,124.535514
I3SB,10 years old,S,Acacia mangium,Mangium,E,11.591689,124.535514
I3SB,10 years old,S,Ficus congesta,Malatibig,E,11.591689,124.535514
I4NB,10 years old,N,Homalanthus populneus?,Balanti,N,11.59143,124.535482
I4NB,10 years old,N,Acacia mangium,Mangium,E,11.59143,124.535482
I4NB,10 years old,N,Acacia mangium,Mangium,E,11.59143,124.535482
I4NB,10 years old,N,Acacia mangium,Mangium,E,11.59143,124.535482
I4NB,10 years old,N,Macaranga tanarius (Linn.),Minonga,N,11.59143,124.535482
I4NB,10 years old,N,Ficus nota ,Tibig,N,11.59143,124.535482
I4NB,10 years old,N,Acacia mangium,Mangium,E,11.59143,124.535482
I4NB,10 years old,N,Acacia mangium,Mangium,E,11.59143,124.535482
I4NB,10 years old,N,Acacia mangium,Mangium,E,11.59143,124.535482
I4NB,10 years old,N,Macaranga tanarius (Linn.),Minonga,N,11.59143,124.535482
I4NB,10 years old,N,Acacia mangium,Mangium,E,11.59143,124.535482
I4NB,10 years old,N,Acacia mangium,Mangium,E,11.59143,124.535482
I4NB,10 years old,N,Acacia mangium,Mangium,E,11.59143,124.535482
I4NB,10 years old,N,Ficus nota ,Tibig,N,11.59143,124.535482
I4NB,10 years old,N,Acacia mangium,Mangium,E,11.59143,124.535482
I4NB,10 years old,N,Acacia mangium,Mangium,E,11.59143,124.535482
I4NB,10 years old,N,Acacia mangium,Mangium,E,11.59143,124.535482
I4NB,10 years old,N,Acacia mangium,Mangium,E,11.59143,124.535482
I4NB,10 years old,N,Acacia mangium,Mangium,E,11.59143,124.535482
I4NB,10 years old,N,Ficus heteropoda,Alangas,N,11.59143,124.535482
I4NB,10 years old,N,Acacia mangium,Mangium,E,11.59143,124.535482
I4NB,10 years old,N,Acacia mangium,Mangium,E,11.59143,124.535482
I4NB,10 years old,N,Acacia mangium,Mangium,E,11.59143,124.535482
O1SB,24 years old,S,Acacia mangium,Mangium,E,11.59324,124.537684
O1SB,24 years old,S,Artocarpus nitidus (A. lamellosus) ,Kubi,N,11.59324,124.537684
O1SB,24 years old,S,Gmelina Arborea,Gmelina Arboria,E,11.59324,124.537684
O1SB,24 years old,S,Pterocymbium tinctorium,Taluto,E,11.59324,124.537684
O1SB,24 years old,S,Ficus nota ,Tibig,N,11.59324,124.537684
O1SB,24 years old,S,Gmelina Arborea,Gmelina Arboria,E,11.59324,124.537684
O1SB,24 years old,S,Commersonia bartramina (L.) Merr.,Suyapao,N,11.59324,124.537684
O1SB,24 years old,S,Acacia mangium,Mangium,E,11.59324,124.537684
O1SB,24 years old,S,Gmelina Arborea,Gmelina Arboria,E,11.59324,124.537684
O1SB,24 years old,S,"Musa acuminata, Musa balbisiana (Musa spp.)",Banana,N,11.59324,124.537684
O1SB,24 years old,S,"Musa acuminata, Musa balbisiana (Musa spp.)",Banana,N,11.59324,124.537684
O1SB,24 years old,S,Gmelina Arborea,Gmelina Arboria,E,11.59324,124.537684
O1SB,24 years old,S,Gmelina Arborea,Gmelina Arboria,E,11.59324,124.537684
O1SB,24 years old,S,Acacia mangium,Mangium,E,11.59324,124.537684
O1SB,24 years old,S,Acacia mangium,Mangium,E,11.59324,124.537684
O1SB,24 years old,S,Gmelina Arborea,Gmelina Arboria,E,11.59324,124.537684
O1SB,24 years old,S,Homalanthus populneus,Balanti,N,11.59324,124.537684
O1SB,24 years old,S,Gmelina Arborea,Gmelina Arboria,E,11.59324,124.537684
O1SB,24 years old,S,Gmelina Arborea,Gmelina Arboria,E,11.59324,124.537684
O1SB,24 years old,S,Homalanthus populneus,Balanti,N,11.59324,124.537684
O1SB,24 years old,S,Homalanthus populneus,Balanti,N,11.59324,124.537684
O2NB,24 years old,N,Ficus latsoni,Tangilang Layugan,N,11.594358,124.538137
O2NB,24 years old,N,Leucyosyke capitellata,Anagasi,N,11.594358,124.538137
O2NB,24 years old,N,Macaranga tanarius (Linn.),Binonga,N,11.594358,124.538137
O2NB,24 years old,N,Dendrocnide meyeniana,Lipang kalaban,N,11.594358,124.538137
O2NB,24 years old,N,Dendrocnide meyeniana,Lipang kalaban,N,11.594358,124.538137
O2NB,24 years old,N,Gmelina Arborea,Gmelina Arboria,E,11.594358,124.538137
O2NB,24 years old,N,Artocarpus nitidus (A. lamellosus) ,Kubi,N,11.594358,124.538137
O2NB,24 years old,N,Macaranga tanarius (Linn.),Binonga,N,11.594358,124.538137
O2NB,24 years old,N,Leucyosyke capitellata,Anagasi,N,11.594358,124.538137
O2NB,24 years old,N,Macaranga tanarius (Linn.),Binonga,N,11.594358,124.538137
O2NB,24 years old,N,Leucyosyke capitellata,Anagasi,N,11.594358,124.538137
O2NB,24 years old,N,Leucyosyke capitellata,Anagasi,N,11.594358,124.538137
O2NB,24 years old,N,Leucyosyke capitellata,Anagasi,N,11.594358,124.538137
O2NB,24 years old,N,Macaranga tanarius (Linn.),Binonga,N,11.594358,124.538137
O2NB,24 years old,N,Macaranga tanarius (Linn.),Binonga,N,11.594358,124.538137
O2NB,24 years old,N,Macaranga tanarius (Linn.),Binonga,N,11.594358,124.538137
O2NB,24 years old,N,Macaranga tanarius (Linn.),Binonga,N,11.594358,124.538137
O2NB,24 years old,N,Macaranga tanarius (Linn.),Binonga,N,11.594358,124.538137
